GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryTester,47,382,6,34,12,92,6,32,0,18
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryServerExtension,16,90,3,5,5,24,3,8,0,7
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryServerRule,0,135,0,4,0,30,0,13,0,11
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryTesterException,11,5,0,0,6,2,3,1,3,1
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryServerUtils,14,254,6,20,6,59,6,14,0,7
LDAPUnit,com.buralotech.oss.ldapunit,DirectoryServerStatement,0,19,0,0,0,7,0,2,0,2
